Total states: 9901
Time      Preys     Predators   H         
------------------------------------------
6.51      0.0321531 0.15834     3.52684   
6.52      0.0323316 0.157367    3.52686   
6.53      0.0325115 0.156399    3.52688   
6.54      0.0326925 0.155438    3.52691   
6.55      0.0328749 0.154482    3.52693   
6.56      0.0330584 0.153533    3.52695   
6.57      0.0332433 0.152589    3.52697   
6.58      0.0334294 0.151652    3.527     
6.59      0.0336168 0.15072     3.52702   
6.6       0.0338056 0.149794    3.52704   
6.61      0.0339956 0.148873    3.52706   
6.62      0.0341869 0.147959    3.52709   
6.63      0.0343795 0.14705     3.52711   
6.64      0.0345735 0.146147    3.52713   
6.65      0.0347688 0.145249    3.52716   
6.66      0.0349655 0.144357    3.52718   
6.67      0.0351635 0.143471    3.5272    
6.68      0.0353629 0.14259     3.52722   
