Total states: 66001
Time      Preys     Predators   H         
0.629     13.5394   5.56846     -2.41194  
0.63      13.5454   5.57043     -2.41194  
0.631     13.5514   5.57241     -2.41194  
0.632     13.5574   5.57438     -2.41194  
0.633     13.5634   5.57637     -2.41194  
0.634     13.5694   5.57835     -2.41194  
0.635     13.5754   5.58035     -2.41194  
0.636     13.5814   5.58234     -2.41194  
0.637     13.5874   5.58434     -2.41194  
0.638     13.5934   5.58634     -2.41194  
0.639     13.5994   5.58835     -2.41194  
0.64      13.6054   5.59036     -2.41194  
0.641     13.6114   5.59238     -2.41194  
0.642     13.6174   5.5944      -2.41194  
0.643     13.6234   5.59642     -2.41194  
0.644     13.6294   5.59845     -2.41193  
0.645     13.6354   5.60048     -2.41193  
0.646     13.6414   5.60252     -2.41193  
0.647     13.6474   5.60456     -2.41193  
0.648     13.6534   5.6066      -2.41193  
0.649     13.6594   5.60865     -2.41193  
0.65      13.6654   5.6107      -2.41193  
0.651     13.6714   5.61276     -2.41193  
0.652     13.6773   5.61482     -2.41193  
0.653     13.6833   5.61688     -2.41193  
0.654     13.6893   5.61895     -2.41193  
0.655     13.6953   5.62103     -2.41193  
0.656     13.7013   5.6231      -2.41193  
0.657     13.7073   5.62518     -2.41193  
0.658     13.7133   5.62727     -2.41193  
0.659     13.7193   5.62936     -2.41193  
0.66      13.7253   5.63145     -2.41193  
0.661     13.7313   5.63355     -2.41193  
0.662     13.7373   5.63565     -2.41193  
0.663     13.7433   5.63776     -2.41193  
0.664     13.7493   5.63987     -2.41193  
0.665     13.7553   5.64198     -2.41193  
0.666     13.7613   5.6441      -2.41193  
0.667     13.7673   5.64623     -2.41193  
